Brand,Processor_Brand,Processor_Full,Price,Discount,Original_price,RAM_GB,OS,Platform,Storage_GB,Storage_unit,Display_cm,Display_inch,Warranty,Availability,Processor_Gen_Num,Clean_Description
Msi,Intel,Intel Core i7 Processor (13th Gen),271990,21,347990.0,16.0,Windows 11,Windows,2048.0,TB,43.94,17.3,2.0,In Stock,13.0,Intel Core i7 Processor (13th Gen); 16 GB DDR5 RAM; Windows 11 Operating System; 2 TB SSD; 43.94 cm (17.3 Inch) Display; 2 Year Onsite Warranty
Msi,AMD,AMD Ryzen 9 16 Core Processor,269990,10,299990.0,32.0,Windows 11,Windows,2048.0,TB,45.72,18.0,2.0,In Stock,9.0,AMD Ryzen 9 16 Core Processor; 32 GB DDR5 RAM; 64 bit Windows 11 Operating System; 2 TB SSD; 45.72 cm (18 Inch) Display; 2 Year On-Site Warranty
Msi,Intel,Intel Core Ultra 9 Processor,267990,8,291990.0,32.0,Windows 11,Windows,2048.0,TB,43.18,17.0,2.0,In Stock,14.0,Intel Core Ultra 9 Processor; 32 GB DDR5 RAM; 64 bit Windows 11 Operating System; 2 TB SSD; 43.18 cm (17 Inch) Display; 2 Year On-Site Warranty
Asus,Intel,Intel Core Ultra 9 Processor,259990,5,275990.0,32.0,Windows 11,Windows,1024.0,TB,40.64,16.0,1.0,In Stock,14.0,"Intel Core Ultra 9 Processor; 32 GB DDR5 RAM; Windows 11 Home Operating System; 1 TB SSD; 40.64 cm (16 inch) Display; Microsoft Office Home 2024 (Lifetime Validity) + Microsoft 365 Basic*(1 Year Validity), McAfee 1 Year; 1 Year Onsite Warranty"
Msi,Intel,Intel Core Ultra 9 Processor,259990,10,291990.0,32.0,Windows 11,Windows,2048.0,TB,43.18,17.0,2.0,In Stock,14.0,Intel Core Ultra 9 Processor; 32 GB DDR5 RAM; 64 bit Windows 11 Operating System; 2 TB SSD; 43.18 cm (17 Inch) Display; 2 Year On-Site Warranty
Msi,AMD,AMD Ryzen 9 16 Core Processor (7th Gen),259990,20,324990.0,32.0,Windows 11,Windows,1024.0,TB,45.72,18.0,2.0,In Stock,7.0,AMD Ryzen 9 16 Core Processor (7th Gen); 32 GB DDR5 RAM; Windows 11 Operating System; 1 TB SSD; 45.72 cm (18 Inch) Display; 2 Year Carry-in Warranty
Unknown,Intel,Intel Core Ultra 9 Processor,259499,39,429999.0,32.0,Windows 11,Windows,1024.0,TB,40.64,16.0,2.0,In Stock,14.0,Intel Core Ultra 9 Processor; 32 GB DDR5 RAM; Windows 11 Operating System; 1 TB SSD; 40.64 cm (16 Inch) Display; 2 Years
Msi,Intel,Intel Core i9 Processor (14th Gen),257990,24,339990.0,32.0,Windows 11,Windows,2048.0,TB,45.72,18.0,2.0,In Stock,14.0,Intel Core i9 Processor (14th Gen); 32 GB DDR5 RAM; Windows 11 Operating System; 2 TB SSD; 45.72 cm (18 Inch) Display; 2 Year Onsite Warranty
Msi,Intel,Intel Core i7 Processor (14th Gen),249990,25,334990.0,32.0,Windows 11,Windows,2048.0,TB,43.18,17.0,2.0,In Stock,14.0,Intel Core i7 Processor (14th Gen); 32 GB DDR5 RAM; Windows 11 Operating System; 2 TB SSD; 43.18 cm (17 Inch) Touchscreen Display; 2 Year Onsite Warranty
Dell,Intel,Intel Core Ultra 7 Processor,249990,17,304305.0,32.0,Windows 11,Windows,1024.0,TB,36.83,14.5,1.0,In Stock,14.0,"Intel Core Ultra 7 Processor; 32 GB LPDDR5 RAM; Windows 11 Operating System; 1 TB SSD; 36.83 cm (14.5 Inch) Touchscreen Display; My Dell (Dell Power Manager,Dell Support Assist); 1 Year Onsite Hardware Service"
Lenovo,Intel,Intel Core i7 Processor (8th Gen),244801,0,244801.0,16.0,Windows 10,Windows,512.0,GB SSD,35.56,14.0,3.0,In Stock,8.0,Intel Core i7 Processor (8th Gen); 16 GB DDR4 RAM; 64 bit Windows 10 Operating System; 512 GB SSD; 35.56 cm (14 inch) Display; 3 Year Onsite Warranty
